Id,Status,Name,Description,Particpation,Location,Add,Tel,Org,Start,End,Cycle,Noncycle,Map,Px,Py,Travellinginfo,Parkinginfo,Charge,Remarks,Changetime
C2_397000000A_003203,2,「打開畫匣子－美術在高雄」現象美學～與內在的孩童共舞－宋瑞珍個展,無,一般民眾,to see the official site,高雄市802苓雅區五福一路67號,886-7-7995678,高雄市文化局,2020/8/12 00:00,2020/8/23 23:59,,,,120.31814,22.6258,,,,,2020/8/19 19:06
C2_397000000A_003206,2,寶來花賞溫泉公園振興國旅優惠方案即將截止，敬請把握時間，另推出七夕優惠活動，歡迎來體驗喔！,無,一般民眾,to see the official site,高雄市844六龜區,886-7-7995678,高雄觀光局,2020/8/20 00:00,2020/8/31 23:59,,,,120.6545,23.00262,,,,,2020/8/20 14:50
C2_397000000A_003219,2,高市交與小提琴巨星激盪的璀璨火花,無,一般民眾,to see the official site,高雄市830鳳山區三多一路 1 號,886-7-7995678,衛武營國家藝術文化中心音樂廳,2020/10/17 19:30,2020/10/17 23:00,,,,120.34221,22.62417,,,,,2020/8/21 18:36
C2_397000000A_003221,2,2020紅毛港文化園區X郭元益糕餅博物館【首場聯名。海港抓週趣 】,無,一般民眾,to see the official site,高雄市812小港區南星路2808號,886-7-7995678,高雄市紅毛港文化園區,2020/8/21 14:00,2020/8/23 18:00,,,,120.31794,22.55069,,,,,2020/8/21 18:35
C2_397000000A_003224,2,時間的零件,無,一般民眾,to see the official site,高雄市830鳳山區三多一路 1 號,886-7-7995678,衛武營國家藝術文化中心,2020/8/25 19:30,2020/8/25 22:00,,,,120.34221,22.62417,,,,,2020/8/24 17:12
C2_397000000A_003226,2,蓮庄慢活市集x輕旅行,無,一般民眾,to see the official site,高雄市822阿蓮區復安里,886-7-7995678,阿蓮社區發展協會,2020/8/23 00:00,2020/11/15 23:59,,,,120.3349,22.84775,,,,,2020/8/25 09:27
C2_397000000A_003229,2,2020 Camerata Taiwan 巴雀弦樂團《東方音緣》,無,一般民眾,to see the official site,高雄市830鳳山區三多一路 1 號,886-7-7995678,衛武營國家藝術文化中心,2020/8/27 00:00,2020/8/27 23:59,,,,120.33331,22.62367,,,,,2020/8/27 23:33
C2_397000000A_003232,2,普契尼歌劇《杜蘭朵》,無,一般民眾,to see the official site,高雄市830鳳山區三多一路 1 號,886-7-7995678,衛武營國家藝術文化中心,2020/8/30 14:30,2020/8/30 17:00,,,,120.34221,22.62417,,,,,2021/6/25 09:09
C2_397000000A_003234,2,五彩繽紛-五人聯展,無,一般民眾,to see the official site,高雄市802苓雅區五福一路67號,886-7-7995678,高雄市政府文化局,2020/8/21 00:00,2020/9/1 23:59,,,,120.31814,22.6258,,,,,2020/8/30 15:47
C2_397000000A_003236,2,2020台灣寶寶劇場藝術家平台計畫－創作初探工作坊,無,一般民眾,to see the official site,高雄市830鳳山區三多一路 1 號,886-7-7995678,衛武營國家藝術文化中心,2020/8/31 00:00,2020/9/5 23:59,,,,120.34221,22.62417,,,,,2020/9/1 09:41
C2_397000000A_003238,2,一起笑哈哈《完美鋼琴老師》,無,一般民眾,to see the official site,高雄市830鳳山區三多一路 1 號,886-7-7995678,衛武營國家藝術文化中心,2020/9/2 19:30,2020/9/3 21:00,,,,120.33331,22.62367,,,,,2020/9/1 21:25
C2_397000000A_003240,2,「打開畫匣子－美術在高雄」林幸輝皮雕展,無,一般民眾,to see the official site,高雄市802苓雅區五福一路67號,886-7-7995678,高雄市政府文化局,2020/8/26 00:00,2020/9/6 23:59,,,,120.31814,22.6258,,,,,2020/9/2 21:53
C2_397000000A_003243,2,2020旗津黑沙玩藝節(免費入場),無,一般民眾,to see the official site,高雄市805旗津區旗津海水浴場,886-7-7995678,高雄市政府觀光局,2020/9/27 00:00,2020/10/11 23:59,,,,120.26821,22.60841,,,,,2020/9/24 14:07
C2_397000000A_003247,2,音樂舞台劇《阿嬤的歌本》,無,一般民眾,to see the official site,高雄市830鳳山區三多一路 1 號,886-7-7995678,衛武營國家藝術文化中心,2020/9/6 00:00,2020/9/6 14:00,,,,120.34221,22.62417,,,,,2020/9/5 20:16
C2_397000000A_003249,2,《豫見繁花開》音樂會,無,一般民眾,to see the official site,高雄市830鳳山區光遠路161號,886-7-7995678,高雄市政府文化局,2020/9/27 14:30,2020/9/27 18:00,,,,120.36344,22.62476,,,,,2020/9/6 17:56
C2_397000000A_003253,2,雲門舞集 鄭宗龍《定光》,無,一般民眾,to see the official site,高雄市830鳳山區三多一路 1 號,886-7-7995678,衛武營國家藝術文化中心,2020/10/17 00:00,2020/10/18 23:59,,,,120.34221,22.62417,,,,,2020/9/9 22:53
C2_397000000A_003255,2,心心南管樂坊《王心心作場 ─ 蝶戀花》,無,一般民眾,to see the official site,高雄市830鳳山區三多一路 1 號,886-7-7995678,衛武營國家藝術文化中心,2020/9/12 00:00,2020/9/12 23:59,,,,120.34221,22.62417,,,,,2020/9/10 17:36
C2_397000000A_003257,2,高雄港灣藝術行動-雄海派,無,一般民眾,to see the official site,高雄市803鹽埕區大勇路1號,886-7-7995678,駁二藝術特區,2020/9/26 00:00,2020/11/8 23:59,,,,120.2816,22.62001,,,,,2020/9/11 10:20
C2_397000000A_003259,2,【2020臺灣舞蹈平台】限量超值ALL PASS暢行無阻專案！,無,一般民眾,to see the official site,高雄市830鳳山區三多一路 1 號,886-7-7995678,衛武營國家藝術文化中心,2020/9/4 00:00,2020/11/8 23:59,,,,120.34221,22.62417,,,,,2020/9/11 10:36
C2_397000000A_003261,2,全民大劇團《同學會！同鞋～》,無,一般民眾,to see the official site,高雄市830鳳山區三多一路 1 號,886-7-7995678,衛武營國家藝術文化中心,2020/9/12 00:00,2020/9/13 23:59,,,,120.34221,22.62417,,,,,2020/9/11 10:35
C2_397000000A_003264,2,2020臺灣經典小鎮-長濱健走趣,無,一般民眾,to see the official site,臺東縣962長濱鄉長濱村五鄰11號 ,886-7-7995678,臺東縣長濱鄉公所,2020/9/1 00:00,2020/10/2 23:59,,,,121.45242,23.31545,,,,,2020/9/14 14:42
C2_397000000A_003266,2,大家都叫我咪咪 ─ 林玲慧詠嘆浦契尼,無,一般民眾,to see the official site,高雄市830鳳山區三多一路 1 號,886-7-7995678,衛武營國家藝術文化中心,2020/9/20 00:00,2020/9/20 23:59,,,,120.34221,22.62417,,,,,2020/9/15 19:01
C2_397000000A_003268,2,2020小鎮遊戲趣,無,一般民眾,to see the official site,高雄市843美濃區中正路一段191號,886-7-7995678,交通部觀光局,2020/9/19 00:00,2020/12/20 23:59,,,,120.54318,22.89454,,,,,2020/9/16 19:46
